ID,"Post Type",Title,Content,"Course Categories",Permalink,"Attachment URL","Attachment Filename","Image URL","Image Filename"
25363,sfwd-courses,"1a - Introduction To Seedlab","<!-- wp:paragraph -->
<p>This module provides an introduction to Seedlab Australia and an overview of how the course works.</p>
<!-- /wp:paragraph -->",Bootcamp,https://seedlabacademy.net.au/courses/1a-introduction-to-seedlab/,,,https://seedlabacademy.net.au/wp-content/uploads/2021/10/20240229_Woolworths_Seedlab-836-1-scaled-e1738638290862.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/1.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/2.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/3.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/4.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Intro-to-Seedlab-e1691894732640.jpg,20240229_Woolworths_Seedlab-836-1-scaled-e1738638290862.jpg|1.jpg|2.jpg|3.jpg|4.jpg|Intro-to-Seedlab-e1691894732640.jpg
25371,sfwd-courses,"1b - Seedlab Business Planner",,Bootcamp,https://seedlabacademy.net.au/courses/1b-seedlab-business-planner/,,,https://seedlabacademy.net.au/wp-content/uploads/2021/10/3.jpg,3.jpg
25373,sfwd-courses,"2 - Consumers & Competition","<!-- wp:paragraph -->
<p>Understanding your consumers, customers and where you sit with your competitors is a vital first step in knowing your business and being able to make informed choices.  The content within this course will help you focus on these market insights. </p>
<!-- /wp:paragraph -->",Bootcamp,https://seedlabacademy.net.au/courses/2-consumers-competition/,,,https://seedlabacademy.net.au/wp-content/uploads/2021/10/Consumers-e1691894769972.jpg,Consumers-e1691894769972.jpg
25378,sfwd-courses,"Week 2 - Your Business","<!-- wp:paragraph -->
<p>Having a sound understanding of your business fundamentals is essential to operating a profitable and sustainable organisation.  The topics within this course aim to remind you of some of these fundamentals and even stimulate you to consider aspects you may not have considered before.</p>
<!-- /wp:paragraph -->",Bootcamp,https://seedlabacademy.net.au/courses/week-2-your-business/,,,https://seedlabacademy.net.au/wp-content/uploads/2021/12/Marketing-Cultivate.png|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Seedlab-Expo6-199-1-e1758590482616.jpg,Marketing-Cultivate.png|Seedlab-Expo6-199-1-e1758590482616.jpg
25482,sfwd-courses,"Week 3 - Your Product &amp; Who Buys It",,Bootcamp,https://seedlabacademy.net.au/courses/week-3-your-product-who-buys-it/,,,https://seedlabacademy.net.au/wp-content/uploads/2021/10/20240801_RedJelly_Seedlab-127-scaled-e1758590250467.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Module-3-Product-and-Production.png|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Product-and-Production-e1691894626309.jpg,20240801_RedJelly_Seedlab-127-scaled-e1758590250467.jpg|Module-3-Product-and-Production.png|Product-and-Production-e1691894626309.jpg
25485,sfwd-courses,"Week 5 - Are you Retail Ready?",,Bootcamp,https://seedlabacademy.net.au/courses/week-5-are-you-retail-ready/,,,https://seedlabacademy.net.au/wp-content/uploads/2021/10/Supply-and-Sell-e1691894660624.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Module-4-Supply-and-Sell.png,Supply-and-Sell-e1691894660624.jpg|Module-4-Supply-and-Sell.png
25488,sfwd-courses,"Seedlab Success Stories",,Propagate,https://seedlabacademy.net.au/courses/seedlab-success-stories/,,,https://seedlabacademy.net.au/wp-content/uploads/2021/10/Good-Riddance-scaled-e1758591085402.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Seedlab-Success-Stories.png|https://seedlabacademy.net.au/wp-content/uploads/2021/10/SLA-Success-Stories.png,Good-Riddance-scaled-e1758591085402.jpg|Seedlab-Success-Stories.png|SLA-Success-Stories.png
25495,sfwd-courses,"Week 4 - Your Brand",,Bootcamp,https://seedlabacademy.net.au/courses/week-4-your-brand/,,,https://seedlabacademy.net.au/wp-content/uploads/2026/03/BASKCO700400.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Module-5-Your-Brand-Story.png|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Brand-e1691894538371.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Seedlab-Expo6-751-scaled-e1758589918668.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Seedlab-Expo6-752-scaled-e1758590166207.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/20240801_RedJelly_Seedlab-127-scaled-e1758590250467.jpg|https://seedlabacademy.net.au/wp-content/uploads/2026/03/BASKCO-1.jpg|https://seedlabacademy.net.au/wp-content/uploads/2026/03/20240801_RedJelly_Seedlab-247.jpg,BASKCO700400.jpg|Module-5-Your-Brand-Story.png|Brand-e1691894538371.jpg|Seedlab-Expo6-751-scaled-e1758589918668.jpg|Seedlab-Expo6-752-scaled-e1758590166207.jpg|20240801_RedJelly_Seedlab-127-scaled-e1758590250467.jpg|BASKCO-1.jpg|20240801_RedJelly_Seedlab-247.jpg
25498,sfwd-courses,"Week 6 - Ready, Set, Go!",,Bootcamp,https://seedlabacademy.net.au/courses/week-6-ready-set-go/,,,https://seedlabacademy.net.au/wp-content/uploads/2021/10/tully_Academytile.png|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Module-6-Pitching.png|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Pitching-e1691894587917.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/20240801_RedJelly_Seedlab-445-e1769640198820.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/Seedlab-July2023-569.webp,tully_Academytile.png|Module-6-Pitching.png|Pitching-e1691894587917.jpg|20240801_RedJelly_Seedlab-445-e1769640198820.jpg|Seedlab-July2023-569.webp
25773,sfwd-courses,"Seedlab Community",,Cultivate,https://seedlabacademy.net.au/courses/seedlab-community/,,,https://seedlabacademy.net.au/wp-content/uploads/2021/12/Cultivate-7-Hangout-1-Tile.jpg,Cultivate-7-Hangout-1-Tile.jpg
