ID,Title,Content,Permalink,"Post Type","Attachment URL","Attachment Filename","Image URL","Image Filename","Lesson Categories"
25381,"Goal Setting For Success","<!-- wp:paragraph -->
<p>In this module Dr Hazel MacTavish-West discusses the importance of setting short, medium, and long term goals to ensure that you end out where you want to be.  Some tools and templates are then presented to help you undertake this activity.  These templates and accompanying slides can be found under the 'Materials' tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644592322?h=7767fd664a"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/courses/week-2-your-business/lessons/goal-setting-for-success/,sfwd-lessons,,,,,
25383,"What Style of Business Are You?","<!-- wp:paragraph -->
<p>In this video Ray Butcher outlines some of the major business types and structures. He then describes how the objectives of these businesses may differ and the trajectory that a business may follow as it grows and matures.  The accompanying slides can be found under the 'Materials' tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644545372?h=c899d9659b"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/lessons/what-style-of-business-are-you/,sfwd-lessons,,,,,
25385,"Performing a SWOT Analysis","<!-- wp:paragraph -->
<p>Amanda Hinds takes you through SWOT as a tool for your business, and how to perform a SWOT analysis.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://vimeo.com/1166483556/4de21ec9fe?share=copy\u0026fl=sv\u0026fe=ci"",""type"":""video"",""providerNameSlug"":""vimeo"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-vimeo wp-block-embed-vimeo wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://vimeo.com/1166483556/4de21ec9fe?share=copy&amp;fl=sv&amp;fe=ci
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p>Tags: SWOT, Amanda, swot analysis, strengths, weaknesses, threats, opportunities, business tool</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/week-2-your-business/lessons/performing-a-swot-analysis/,sfwd-lessons,https://seedlabacademy.net.au/wp-content/uploads/2026/02/SWOT.pdf,SWOT.pdf,,,
25387,"The Importance of Setting Specifications","<!-- wp:paragraph -->
<p>In this video Ray Butcher describes the importance of creating documented specifications for all ingredients and other inputs to your process as well as defining a specification for your outputs to communicate with your customer.  The accompanying slides can be found under the 'Materials' tab.  The homework from this session (referred to as worksheet #5)  forms part of the upload for your Cultivate pitch.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644541144?h=591e1461a7"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/lessons/the-importance-of-setting-specifications/,sfwd-lessons,,,,,
25389,"A Basic Business Checklist","<!-- wp:paragraph -->
<p>Please watch this video or read the slides, and complete a Business Checklist for your business.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>The Accompanying slides and homework worksheet (#4) can be found under the 'Materials' tab. The checklist is 'essential worksheet #4' which we require you to complete and upload with your pitch at the end of bootcamp if you wish to be considered for Cultivate.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644586622?h=5d15787296"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/week-2-your-business/lessons/a-basic-business-checklist/,sfwd-lessons,,,,,
25391,"Your Business","<!-- wp:paragraph -->
<p>In this video Ray Butcher provides a grounding in the basics of business, metrics and understanding business finance. These are skills that are essential to have when running a business and this introduction is intended to act as a reminder to the experienced practitioner or as a starting point for a less developed business operator. </p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644546253?h=0bbc3fdc84"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/courses/week-2-your-business/lessons/your-business/,sfwd-lessons,,,,,
25395,"The Seedlab Business Planner","<!-- wp:paragraph -->
<p>The Seedlab Business Planner is a version of the popular LEAN startup plan used to guide and inform startup businesses around the world. The lessons presented throughout the Seedlab Australia program will take you through the key areas of the plan and offer instruction as to how to populate your business plan on a page.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>In this video Dr Hazel MacTavish-West introduces the planner and describes how we use it. Various formats of the planner template can be found under the 'Materials' tab for download. </p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://vimeo.com/1097251271/7a92069217?share=copy"",""type"":""video"",""providerNameSlug"":""vimeo"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-vimeo wp-block-embed-vimeo wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://vimeo.com/1097251271/7a92069217?share=copy
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p>The planner is designed to be printed out and used as a live document, often using sticky notes to allow rapid changes and thought experiments. A possible alternative to using a hard copy is to use an image of the planner as a background in your favourite virtual whiteboard or planning application. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Below is an example of such a plan being used in Jamboard which is a Google suite application available online (<a href=""https://jamboard.google.com/"" target=""_blank"" rel=""noreferrer noopener"">jamboard.google.com</a>) but many other applications could be used (e.g. Trello, Miro etc.).</p>
<!-- /wp:paragraph -->

<!-- wp:image {""id"":25409,""sizeSlug"":""large"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-large""><img src=""https://seedlabacademy.net.au/wp-content/uploads/2026/01/6f62025126280bc81141ec48ec849085fba9cedd.jpgwp-content/uploads/2021/10/jamboard-example-1024x569.jpg"" alt=""Screenshot of jamboard version of Seedlab Business Planner"" class=""wp-image-25409""/></figure>
<!-- /wp:image -->

<!-- wp:paragraph -->
<p>The Seedlab Business Planner is adapted from&nbsp;<a href=""http://businessmodelgeneration.com/"">The Business Model Canvas</a>&nbsp;and the Lean Canvas created by Ash Maurya and is licensed under the Creative Commons Attribution-Share Alike 3.0 Un-ported License.</p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/1b-seedlab-business-planner/lessons/the-seedlab-business-planner/,sfwd-lessons,,,https://seedlabacademy.net.au/wp-content/uploads/2021/10/Seedlab_Business_Planner_v1_jpeg.jpg|https://seedlabacademy.net.au/wp-content/uploads/2021/10/jamboard-example.jpg,Seedlab_Business_Planner_v1_jpeg.jpg|jamboard-example.jpg,
25397,"What Are You?","<!-- wp:paragraph -->
<p>In this module Dr Hazel MacTavish-West challenges you to try to describe who you are and what your product is in a simple and succinct way. This is an essential stepping stone on the path to being able to communicate with your markets.  The associated pre-work sheet can be found under the 'Materials' tab.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://vimeo.com/1163092589/ce86fb3acf?share=copy\u0026fl=sv\u0026fe=ci"",""type"":""video"",""providerNameSlug"":""vimeo"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-vimeo wp-block-embed-vimeo wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://vimeo.com/1163092589/ce86fb3acf?share=copy&amp;fl=sv&amp;fe=ci
</div></figure>
<!-- /wp:embed -->",https://seedlabacademy.net.au/courses/1a-introduction-to-seedlab/lessons/what-are-you/,sfwd-lessons,https://seedlabacademy.net.au/wp-content/uploads/2026/02/What-Are-You-Jan-2026.pdf|https://seedlabacademy.net.au/wp-content/uploads/2026/02/What-Are-You-Jan-2026.pptx,What-Are-You-Jan-2026.pdf|What-Are-You-Jan-2026.pptx,,,
25401,"Seedlab Overview","<!-- wp:paragraph -->
<p>In this module Dr Hazel MacTavish-West provides an overview of Seedlab Australia, its programs, and specifically how the Bootcamp program operates.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://vimeo.com/1163092604/2472138419?share=copy\u0026fl=sv\u0026fe=ci"",""type"":""video"",""providerNameSlug"":""vimeo"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-vimeo wp-block-embed-vimeo wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://vimeo.com/1163092604/2472138419?share=copy&amp;fl=sv&amp;fe=ci
</div></figure>
<!-- /wp:embed -->",https://seedlabacademy.net.au/courses/1a-introduction-to-seedlab/lessons/seedlab-overview/,sfwd-lessons,,,,,
25411,"Meet The Team","<!-- wp:paragraph -->
<p>In the modules below you can meet the Seedlab Australia team who will be providing the content and information throughout bootcamp.</p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/1a-introduction-to-seedlab/lessons/meet-the-team/,sfwd-lessons,,,,,
