ID,Title,Content,Permalink,"Post Type","Attachment URL","Attachment Filename","Image URL","Image Filename","Topic Categories"
25413,"Dr Hazel MacTavish West","<!-- wp:paragraph -->
<p>In this short video Dr Hazel MacTavish-West introduces herself, some of her background and her motivation for developing the Seedlab program.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://vimeo.com/1163092615/3b6a71bbd3?share=copy\u0026fl=sv\u0026fe=ci"",""type"":""video"",""providerNameSlug"":""vimeo"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-vimeo wp-block-embed-vimeo wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://vimeo.com/1163092615/3b6a71bbd3?share=copy&amp;fl=sv&amp;fe=ci
</div></figure>
<!-- /wp:embed -->",https://seedlabacademy.net.au/courses/1a-introduction-to-seedlab/lessons/meet-the-team/topic/dr-hazel-mactavish-west/,sfwd-topic,,,,,
25415,"Ray Butcher","<!-- wp:paragraph -->
<p>In this short video Ray Butcher, Seedlab Australia team member and executive introduces himself and shares a little of his background and motivators.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644543539?h=d3b4c63b93"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/topic/ray-butcher/,sfwd-topic,,,,,
25417,"Amanda Hinds","<!-- wp:paragraph -->
<p>In this short video Amanda Hinds,  Chief People Person and Seedlab Australia team member introduces herself and shares a little of her background.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644585663?h=dc094e58a2"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/1a-introduction-to-seedlab/lessons/meet-the-team/topic/amanda-hinds/,sfwd-topic,,,,,
25419,"Darren West","<!-- wp:paragraph -->
<p>In this short video Darren West, Co-Founder of Seedlab Australia introduces himself and shares a little of his background.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644590276?h=b443514d40"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/topic/darren-west/,sfwd-topic,,,,,
25421,"Andy Cooley","<!-- wp:paragraph -->
<p>In this short video Andy Cooley, Seedlab Australia team member introduces himself and shares a little of his background.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644543471?h=241724731e"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/topic/andy-cooley/,sfwd-topic,,,,,
25553,"Susie Daly from the Daly Potato Co.","<!-- wp:paragraph -->
<p>In this session Susie Daly from the Daly Potato Co. and Hellfire Bluff Distillery is in conversation with Ray Butcher about her business journey, being a supplier to Woolworths, and where to next.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644227292?h=dd7f864571"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Also available as audio only.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1140862165%3Fsecret_token%3Ds-TQEtZqrOF3Q&amp;color=%23ff5500&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;show_teaser=true&amp;visual=true""></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/topic/susie-daly-from-the-daly-potato-co/,sfwd-topic,,,,,
25608,"Russell Smith in Conversation","<!-- wp:paragraph -->
<p>In this session Russell Smith  is in conversation with Ray Butcher sharing his experiences of over 20 years of dealing with retailers at many levels, including Woolworths.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644225320?h=b21efb1825"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Also available as audio only.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1145373400%3Fsecret_token%3Ds-yZTYO7oII3p&amp;color=%23ff5500&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;show_teaser=true&amp;visual=true""></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/topic/russell-smith-in-conversation/,sfwd-topic,,,,,
25765,"Sally Fairless","<!-- wp:paragraph -->
<p>In this short video Sally Fairless, Seedlab Australia team member introduces herself and shares a little of her background.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/854564014?h=6372ec4785&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" title=""Sally Fairless Introduction""></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/topic/sally-fairless/,sfwd-topic,,,,,
25854,"Introduction to IP with Ian Drew","<!-- wp:paragraph -->
<p>In this video provided by Ian Drew from Davies Collison Cave the various different aspects of intellectual property are introduced along with why they are important to your business.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/653531374?h=b00eb10e8f"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen=""""></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Keywords: Davies Collison Cave, Ian Drew, Intellectual Property, Trademark, Patent,  Designs, Copyright, Confidential Information, Domain Name, Business Name, Company Name, IP</p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/topic/introduction-to-ip-with-ian-drew/,sfwd-topic,,,,,
25856,"Trade Marks with Sally Foreman","<!-- wp:paragraph -->
<p>In this video provided by Sally Foreman from Davies Collison Cave the importance of identifying your trademarks and protecting them appropriately is discussed.  Trademarks are becoming a more valuable 'intangible' asset that business invest resources in developing and can become an important component in the perceived business value.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/653530386?h=cfa70b6366"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Keywords: Davies Collison Cave, Sally Foreman, Trademark, Trade Mark, Protection, Registration, Distinctive, Intellectual Property, IP</p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/topic/trade-marks-with-sally-foreman/,sfwd-topic,,,,,
